,correct_target,detokenized_text,scrambled_text,tokenized_text
35,4,nor anyone else agreed joe,"['nor', 'anyone', 'else', 'agreed', 'began']","['nor', 'anyone', 'else', 'agreed', 'joe']"
36,3,maybe i'd better not eh,"['maybe', ""i'd"", 'better', 'tickled', 'eh']","['maybe', ""i'd"", 'better', 'not', 'eh']"
37,1,next him sits george hanford,"['next', 'steve', 'sits', 'george', 'hanford']","['next', 'him', 'sits', 'george', 'hanford']"
38,0,joe ingersoll's age is seventeen,"['nothing', ""ingersoll's"", 'age', 'is', 'seventeen']","['joe', ""ingersoll's"", 'age', 'is', 'seventeen']"
39,4,everyone agreed that it would,"['everyone', 'agreed', 'that', 'it', ""isn't""]","['everyone', 'agreed', 'that', 'it', 'would']"
40,2,i dare say they could,"['i', 'dare', 'two', 'they', 'could']","['i', 'dare', 'say', 'they', 'could']"
41,3,he told me so today,"['he', 'told', 'me', ""there's"", 'today']","['he', 'told', 'me', 'so', 'today']"
42,4,that's a bully idea phil,"[""that's"", 'a', 'bully', 'idea', 'all']","[""that's"", 'a', 'bully', 'idea', 'phil']"
43,4,perry counted on his fingers,"['perry', 'counted', 'on', 'his', 'remember']","['perry', 'counted', 'on', 'his', 'fingers']"
44,3,who else do we want,"['who', 'else', 'do', 'probabilities', 'want']","['who', 'else', 'do', 'we', 'want']"
45,0,and casper temple added joe,"['a', 'casper', 'temple', 'added', 'joe']","['and', 'casper', 'temple', 'added', 'joe']"
46,2,and they're all good fellows,"['and', ""they're"", 'windlass', 'good', 'fellows']","['and', ""they're"", 'all', 'good', 'fellows']"
47,3,meet ballinger's basin brooklyn fourth,"['meet', ""ballinger's"", 'basin', 'way', 'fourth']","['meet', ""ballinger's"", 'basin', 'brooklyn', 'fourth']"
48,3,you had eyes hadn't you,"['you', 'had', 'eyes', 'the', 'you']","['you', 'had', 'eyes', ""hadn't"", 'you']"
49,4,got any ice water aboard,"['got', 'any', 'ice', 'water', ""we're""]","['got', 'any', 'ice', 'water', 'aboard']"
50,2,all that is save perry,"['all', 'that', 'fingers', 'save', 'perry']","['all', 'that', 'is', 'save', 'perry']"
51,1,and the probabilities are not,"['and', 'a', 'probabilities', 'are', 'not']","['and', 'the', 'probabilities', 'are', 'not']"
52,0,there's coney over there fellows,"['pull', 'coney', 'over', 'there', 'fellows']","[""there's"", 'coney', 'over', 'there', 'fellows']"
53,2,it looks jolly doesn't it,"['it', 'looks', 'them', ""doesn't"", 'it']","['it', 'looks', 'jolly', ""doesn't"", 'it']"
54,4,i've never seen coney island,"[""i've"", 'never', 'seen', 'coney', ""storm's""]","[""i've"", 'never', 'seen', 'coney', 'island']"
55,4,what's the place ahead there,"[""what's"", 'the', 'place', 'ahead', 'perry']","[""what's"", 'the', 'place', 'ahead', 'there']"
56,3,she's trying to pass us,"[""she's"", 'trying', 'to', 'move', 'us']","[""she's"", 'trying', 'to', 'pass', 'us']"
57,0,joe wrinkled his forehead anxiously,"['about', 'wrinkled', 'his', 'forehead', 'anxiously']","['joe', 'wrinkled', 'his', 'forehead', 'anxiously']"
58,4,look at those idiots grin,"['look', 'at', 'those', 'idiots', 'i']","['look', 'at', 'those', 'idiots', 'grin']"
59,3,joe's anxiety increased to uneasiness,"[""joe's"", 'anxiety', 'increased', ""it's"", 'uneasiness']","[""joe's"", 'anxiety', 'increased', 'to', 'uneasiness']"
60,2,i knew she was dead,"['i', 'knew', 'her', 'was', 'dead']","['i', 'knew', 'she', 'was', 'dead']"
61,1,what you say goes steve,"['what', 'you', 'say', 'goes', 'steve']","['what', 'you', 'say', 'goes', 'steve']"
62,0,nor any stern added han,"['what', 'any', 'stern', 'added', 'han']","['nor', 'any', 'stern', 'added', 'han']"
63,2,give her another pull joe,"['give', 'her', 'it', 'pull', 'joe']","['give', 'her', 'another', 'pull', 'joe']"
64,0,and how far is edgartown,"['deep', 'how', 'far', 'is', 'edgartown']","['and', 'how', 'far', 'is', 'edgartown']"
65,4,it's only about two miles,"[""it's"", 'only', 'about', 'two', 'the']","[""it's"", 'only', 'about', 'two', 'miles']"
66,1,he leaned over the chart,"['he', 'the', 'over', 'the', 'chart']","['he', 'leaned', 'over', 'the', 'chart']"
67,4,isn't that surf i hear,"[""isn't"", 'that', 'surf', 'i', 'the']","[""isn't"", 'that', 'surf', 'i', 'hear']"
68,3,and it isn't far away,"['and', 'it', ""isn't"", 'the', 'away']","['and', 'it', ""isn't"", 'far', 'away']"
69,3,the adventurer went on again,"['the', 'adventurer', 'went', 'job', 'again']","['the', 'adventurer', 'went', 'on', 'again']"
70,1,anyhow it isn't any nearer,"['anyhow', 'to', ""isn't"", 'any', 'nearer']","['anyhow', 'it', ""isn't"", 'any', 'nearer']"
71,2,then phil sounded another warning,"['then', 'phil', 'leg', 'another', 'warning']","['then', 'phil', 'sounded', 'another', 'warning']"
72,2,we're running on the rocks,"[""we're"", 'running', 'but', 'the', 'rocks']","[""we're"", 'running', 'on', 'the', 'rocks']"
73,4,bring the boat hook here,"['bring', 'the', 'boat', 'hook', ""i'm""]","['bring', 'the', 'boat', 'hook', 'here']"
74,3,did you see it perry,"['did', 'you', 'see', 'she', 'perry']","['did', 'you', 'see', 'it', 'perry']"
75,2,we're cornered in here see,"[""we're"", 'cornered', ""it's"", 'here', 'see']","[""we're"", 'cornered', 'in', 'here', 'see']"
76,1,keep that horn going perry,"['keep', 'in', 'horn', 'going', 'perry']","['keep', 'that', 'horn', 'going', 'perry']"
77,1,then you still there phil,"['then', 'the', 'still', 'there', 'phil']","['then', 'you', 'still', 'there', 'phil']"
78,4,well water sort of lapping,"['well', 'water', 'sort', 'of', 'you']","['well', 'water', 'sort', 'of', 'lapping']"
79,2,all right replied steve quietly,"['all', 'right', 'it', 'steve', 'quietly']","['all', 'right', 'replied', 'steve', 'quietly']"
80,2,how about it you chaps,"['how', 'about', ""i'd"", 'you', 'chaps']","['how', 'about', 'it', 'you', 'chaps']"
81,2,not so well answered phil,"['not', 'so', 'ossie', 'answered', 'phil']","['not', 'so', 'well', 'answered', 'phil']"
82,4,keep your horn going perry,"['keep', 'your', 'horn', 'going', 'nothing']","['keep', 'your', 'horn', 'going', 'perry']"
83,4,ready with the bow anchor,"['ready', 'with', 'the', 'bow', 'have']","['ready', 'with', 'the', 'bow', 'anchor']"
84,2,sixteen corrected the captain gravely,"['sixteen', 'corrected', 'around', 'captain', 'gravely']","['sixteen', 'corrected', 'the', 'captain', 'gravely']"
85,3,we're right here he said,"[""we're"", 'right', 'here', 'well', 'said']","[""we're"", 'right', 'here', 'he', 'said']"
86,0,look how light mine was,"['a', 'how', 'light', 'mine', 'was']","['look', 'how', 'light', 'mine', 'was']"
87,1,i'm surprised at you perry,"[""i'm"", 'to', 'at', 'you', 'perry']","[""i'm"", 'surprised', 'at', 'you', 'perry']"
88,0,han viewed perry in disgust,"['lifted', 'viewed', 'perry', 'in', 'disgust']","['han', 'viewed', 'perry', 'in', 'disgust']"
89,3,someone sing to me please,"['someone', 'sing', 'to', 'your', 'please']","['someone', 'sing', 'to', 'me', 'please']"
90,2,and it's perfectly beastly too,"['and', ""it's"", 'it', 'beastly', 'too']","['and', ""it's"", 'perfectly', 'beastly', 'too']"
91,2,here i'm going this way,"['here', ""i'm"", 'fast', 'this', 'way']","['here', ""i'm"", 'going', 'this', 'way']"
92,3,get a move on han,"['get', 'a', 'move', ""isn't"", 'han']","['get', 'a', 'move', 'on', 'han']"
93,4,the idea was distinctly unwelcome,"['the', 'idea', 'was', 'distinctly', 'worse']","['the', 'idea', 'was', 'distinctly', 'unwelcome']"
94,4,he lifted his voice again,"['he', 'lifted', 'his', 'voice', 'steve']","['he', 'lifted', 'his', 'voice', 'again']"
95,1,shut up one of you,"['shut', 'you', 'one', 'of', 'you']","['shut', 'up', 'one', 'of', 'you']"
96,0,surest thing you know son,"['warning', 'thing', 'you', 'know', 'son']","['surest', 'thing', 'you', 'know', 'son']"
97,3,i thought you were bert,"['i', 'thought', 'you', 'going', 'bert']","['i', 'thought', 'you', 'were', 'bert']"
98,3,asked cas hopefully and eagerly,"['asked', 'cas', 'hopefully', 'anchor', 'eagerly']","['asked', 'cas', 'hopefully', 'and', 'eagerly']"
99,2,who's going to drink it,"[""who's"", 'going', 'for', 'drink', 'it']","[""who's"", 'going', 'to', 'drink', 'it']"
100,3,i'll have a look perry,"[""i'll"", 'have', 'a', 'probabilities', 'perry']","[""i'll"", 'have', 'a', 'look', 'perry']"
101,4,they went to vineyard haven,"['they', 'went', 'to', 'vineyard', 'almost']","['they', 'went', 'to', 'vineyard', 'haven']"
102,2,i die for my country,"['i', 'die', 'hand', 'my', 'country']","['i', 'die', 'for', 'my', 'country']"
103,2,why the fog you know,"['why', 'the', 'to', 'you', 'know']","['why', 'the', 'fog', 'you', 'know']"
104,2,what boat you from sir,"['what', 'boat', 'worse', 'from', 'sir']","['what', 'boat', 'you', 'from', 'sir']"
105,0,this is eastville this side,"['anything', 'is', 'eastville', 'this', 'side']","['this', 'is', 'eastville', 'this', 'side']"
106,1,this fog's burning off fast,"['this', 'lightly', 'burning', 'off', 'fast']","['this', ""fog's"", 'burning', 'off', 'fast']"
107,0,i've got to go home,"['today', 'got', 'to', 'go', 'home']","[""i've"", 'got', 'to', 'go', 'home']"
108,4,of course i ought to,"['of', 'course', 'i', 'ought', 'born']","['of', 'course', 'i', 'ought', 'to']"
109,0,he sails early monday morning,"['rough', 'sails', 'early', 'monday', 'morning']","['he', 'sails', 'early', 'monday', 'morning']"
110,4,gee i'm sorry murmured ossie,"['gee', ""i'm"", 'sorry', 'murmured', 'steve']","['gee', ""i'm"", 'sorry', 'murmured', 'ossie']"
111,3,we might as well eh,"['we', 'might', 'as', 'if', 'eh']","['we', 'might', 'as', 'well', 'eh']"
112,2,it'll be beastly hot though,"[""it'll"", 'be', 'you', 'hot', 'though']","[""it'll"", 'be', 'beastly', 'hot', 'though']"
113,3,got anything more out there,"['got', 'anything', 'more', 'sight', 'there']","['got', 'anything', 'more', 'out', 'there']"
114,3,bring on the dessert then,"['bring', 'on', 'the', 'queer', 'then']","['bring', 'on', 'the', 'dessert', 'then']"
115,4,that's all you get piggie,"[""that's"", 'all', 'you', 'get', 'sandwiches']","[""that's"", 'all', 'you', 'get', 'piggie']"
116,2,and some flour and sugar,"['and', 'some', 'here', 'and', 'sugar']","['and', 'some', 'flour', 'and', 'sugar']"
117,0,where's the next stop steve,"[""that's"", 'the', 'next', 'stop', 'steve']","[""where's"", 'the', 'next', 'stop', 'steve']"
118,0,what do you call adventures,"['to', 'do', 'you', 'call', 'adventures']","['what', 'do', 'you', 'call', 'adventures']"
119,1,toss me a cookie han,"['toss', ""shouldn't"", 'a', 'cookie', 'han']","['toss', 'me', 'a', 'cookie', 'han']"
120,0,go ahead said joe lightly,"['just', 'ahead', 'said', 'joe', 'lightly']","['go', 'ahead', 'said', 'joe', 'lightly']"
121,1,i'll fix up some sandwiches,"[""i'll"", 'pull', 'up', 'some', 'sandwiches']","[""i'll"", 'fix', 'up', 'some', 'sandwiches']"
122,2,asked steve of the rest,"['asked', 'steve', 'do', 'the', 'rest']","['asked', 'steve', 'of', 'the', 'rest']"
123,4,still that's just a guess,"['still', ""that's"", 'just', 'a', 'mine']","['still', ""that's"", 'just', 'a', 'guess']"
124,4,good night was the answer,"['good', 'night', 'was', 'the', 'bed']","['good', 'night', 'was', 'the', 'answer']"
125,2,i hope you get her,"['i', 'hope', 'stared', 'get', 'her']","['i', 'hope', 'you', 'get', 'her']"
126,4,i'm not going to bed,"[""i'm"", 'not', 'going', 'to', 'two']","[""i'm"", 'not', 'going', 'to', 'bed']"
127,3,who wants to sleep anyway,"['who', 'wants', 'to', 'lighted', 'anyway']","['who', 'wants', 'to', 'sleep', 'anyway']"
128,4,a little to the left,"['a', 'little', 'to', 'the', 'in']","['a', 'little', 'to', 'the', 'left']"
129,3,not while i've been watching,"['not', 'while', ""i've"", 'laughed', 'watching']","['not', 'while', ""i've"", 'been', 'watching']"
130,3,put that light out joe,"['put', 'that', 'light', 'though', 'joe']","['put', 'that', 'light', 'out', 'joe']"
131,0,she's lighted up at last,"['why', 'lighted', 'up', 'at', 'last']","[""she's"", 'lighted', 'up', 'at', 'last']"
132,2,i haven't doubted it once,"['i', ""haven't"", 'what', 'it', 'once']","['i', ""haven't"", 'doubted', 'it', 'once']"
133,1,can't see anything now steve,"[""can't"", 'it', 'anything', 'now', 'steve']","[""can't"", 'see', 'anything', 'now', 'steve']"
134,4,yes a red spar buoy,"['yes', 'a', 'red', 'spar', 'was']","['yes', 'a', 'red', 'spar', 'buoy']"
135,1,what's the depth just inside,"[""what's"", 'here', 'depth', 'just', 'inside']","[""what's"", 'the', 'depth', 'just', 'inside']"
136,2,four fathoms shoaling to one,"['four', 'fathoms', 'perry', 'to', 'one']","['four', 'fathoms', 'shoaling', 'to', 'one']"
137,2,got your anchor ready han,"['got', 'your', 'went', 'ready', 'han']","['got', 'your', 'anchor', 'ready', 'han']"
138,4,don't let your windlass rattle,"[""don't"", 'let', 'your', 'windlass', 'put']","[""don't"", 'let', 'your', 'windlass', 'rattle']"
139,2,all fast sir he reported,"['all', 'fast', 'know', 'he', 'reported']","['all', 'fast', 'sir', 'he', 'reported']"
140,2,ossie how about some coffee,"['ossie', 'how', 'want', 'some', 'coffee']","['ossie', 'how', 'about', 'some', 'coffee']"
141,1,there's a way out there,"[""there's"", 'about', 'way', 'out', 'there']","[""there's"", 'a', 'way', 'out', 'there']"
142,0,see where it says'drawbridge,"['it', 'where', 'it', 'says', ""'drawbridge""]","['see', 'where', 'it', 'says', ""'drawbridge""]"
143,4,the man shook his head,"['the', 'man', 'shook', 'his', 'about']","['the', 'man', 'shook', 'his', 'head']"
144,2,three i cal'ate there was,"['three', 'i', 'it', 'there', 'was']","['three', 'i', ""cal'ate"", 'there', 'was']"
145,2,she wasn't here very long,"['she', ""wasn't"", 'her', 'very', 'long']","['she', ""wasn't"", 'here', 'very', 'long']"
146,0,it certainly is agreed joe,"['it', 'certainly', 'is', 'agreed', 'it']","['it', 'certainly', 'is', 'agreed', 'joe']"
147,4,what do you say harry,"['what', 'do', 'you', 'say', 'wink']","['what', 'do', 'you', 'say', 'harry']"
148,1,shall i get them steve,"['shall', 'queer', 'get', 'them', 'steve']","['shall', 'i', 'get', 'them', 'steve']"
149,0,don't forget the cartridges perry,"['sleep', 'forget', 'the', 'cartridges', 'perry']","[""don't"", 'forget', 'the', 'cartridges', 'perry']"
150,4,go in and take it,"['go', 'in', 'and', 'take', 'for']","['go', 'in', 'and', 'take', 'it']"
151,3,tom corwin wanted to know,"['tom', 'corwin', 'wanted', 'her', 'know']","['tom', 'corwin', 'wanted', 'to', 'know']"
152,1,well what's the decision fellows,"['well', 'there', 'the', 'decision', 'fellows']","['well', ""what's"", 'the', 'decision', 'fellows']"
153,3,get your anchor up han,"['get', 'your', 'anchor', 'went', 'han']","['get', 'your', 'anchor', 'up', 'han']"
154,4,give him a hand someone,"['give', 'him', 'a', 'hand', 'to']","['give', 'him', 'a', 'hand', 'someone']"
155,1,what was it you said,"['what', 'was', 'it', 'you', 'said']","['what', 'was', 'it', 'you', 'said']"
156,2,that's a good joke friend,"[""that's"", 'a', 'certainly', 'joke', 'friend']","[""that's"", 'a', 'good', 'joke', 'friend']"
157,0,where do you come in,"['anything', 'do', 'you', 'come', 'in']","['where', 'do', 'you', 'come', 'in']"
158,0,you're crazy with the heat,"['steve', 'crazy', 'with', 'the', 'heat']","[""you're"", 'crazy', 'with', 'the', 'heat']"
159,2,take her answered steve quietly,"['take', 'her', 'know', 'steve', 'quietly']","['take', 'her', 'answered', 'steve', 'quietly']"
160,0,that means you too joe,"['going', 'means', 'you', 'too', 'joe']","['that', 'means', 'you', 'too', 'joe']"
161,1,who's the best shot here,"[""who's"", 'leaned', 'best', 'shot', 'here']","[""who's"", 'the', 'best', 'shot', 'here']"
162,0,tell you what we'll do,"['will', 'you', 'what', ""we'll"", 'do']","['tell', 'you', 'what', ""we'll"", 'do']"
163,4,take it or leave it,"['take', 'it', 'or', 'leave', 'to']","['take', 'it', 'or', 'leave', 'it']"
164,4,can you hear me wink,"['can', 'you', 'hear', 'me', 'there']","['can', 'you', 'hear', 'me', 'wink']"
165,3,come down from there steve,"['come', 'down', 'from', 'put', 'steve']","['come', 'down', 'from', 'there', 'steve']"
166,2,what's the next act steve,"[""what's"", 'the', 'ossie', 'act', 'steve']","[""what's"", 'the', 'next', 'act', 'steve']"
167,3,why not let them run,"['why', 'not', 'let', 'two', 'run']","['why', 'not', 'let', 'them', 'run']"
168,0,wait until they show themselves,"['bring', 'until', 'they', 'show', 'themselves']","['wait', 'until', 'they', 'show', 'themselves']"
169,1,phil beside him turned anxiously,"['phil', 'look', 'him', 'turned', 'anxiously']","['phil', 'beside', 'him', 'turned', 'anxiously']"
170,3,perry's hit in the arm,"[""perry's"", 'hit', 'in', 'them', 'arm']","[""perry's"", 'hit', 'in', 'the', 'arm']"
171,1,you must have agreed steve,"['you', 'two', 'have', 'agreed', 'steve']","['you', 'must', 'have', 'agreed', 'steve']"
172,3,why shouldn't i hurt him,"['why', ""shouldn't"", 'i', 'chased', 'him']","['why', ""shouldn't"", 'i', 'hurt', 'him']"
173,3,they potted perry didn't they,"['they', 'potted', 'perry', 'knew', 'they']","['they', 'potted', 'perry', ""didn't"", 'they']"
174,4,wink glanced across the deck,"['wink', 'glanced', 'across', 'the', 'beastly']","['wink', 'glanced', 'across', 'the', 'deck']"
175,4,i wish they'd show themselves,"['i', 'wish', ""they'd"", 'show', 'bed']","['i', 'wish', ""they'd"", 'show', 'themselves']"
176,4,i'd forgotten about the refrigerator,"[""i'd"", 'forgotten', 'about', 'the', 'knew']","[""i'd"", 'forgotten', 'about', 'the', 'refrigerator']"
177,0,oh all right i guess,"['her', 'all', 'right', 'i', 'guess']","['oh', 'all', 'right', 'i', 'guess']"
178,1,for a minute steve hesitated,"['for', 'anchor', 'minute', 'steve', 'hesitated']","['for', 'a', 'minute', 'steve', 'hesitated']"
179,1,but i don't see them,"['but', 'ossie', ""don't"", 'see', 'them']","['but', 'i', ""don't"", 'see', 'them']"
180,3,get a move on fellows,"['get', 'a', 'move', 'the', 'fellows']","['get', 'a', 'move', 'on', 'fellows']"
181,0,aren't you feeling well ossie,"['say', 'you', 'feeling', 'well', 'ossie']","[""aren't"", 'you', 'feeling', 'well', 'ossie']"
182,3,don't blame you said phil,"[""don't"", 'blame', 'you', 'will', 'phil']","[""don't"", 'blame', 'you', 'said', 'phil']"
183,4,how are you now joe,"['how', 'are', 'you', 'now', 'bring']","['how', 'are', 'you', 'now', 'joe']"
184,3,someone give phil a hand,"['someone', 'give', 'phil', 'move', 'hand']","['someone', 'give', 'phil', 'a', 'hand']"
185,4,he's about ready to quit,"[""he's"", 'about', 'ready', 'to', '1']","[""he's"", 'about', 'ready', 'to', 'quit']"
186,0,it was more probably obsidian,"['to', 'was', 'more', 'probably', 'obsidian']","['it', 'was', 'more', 'probably', 'obsidian']"
187,2,awfully jolly night isn't it,"['awfully', 'jolly', 'fast', ""isn't"", 'it']","['awfully', 'jolly', 'night', ""isn't"", 'it']"
188,2,awfully mixed crowd said wink,"['awfully', 'mixed', 'you', 'said', 'wink']","['awfully', 'mixed', 'crowd', 'said', 'wink']"
189,1,say what time is it,"['say', 'what', 'what', 'is', 'it']","['say', 'what', 'time', 'is', 'it']"
190,1,you sure do agreed wink,"['you', 'do', 'do', 'agreed', 'wink']","['you', 'sure', 'do', 'agreed', 'wink']"
191,2,they might not like it,"['they', 'might', 'about', 'like', 'it']","['they', 'might', 'not', 'like', 'it']"
192,0,they'll be tickled to death,"['chased', 'be', 'tickled', 'to', 'death']","[""they'll"", 'be', 'tickled', 'to', 'death']"
193,0,sit on his legs ossie,"['was', 'on', 'his', 'legs', 'ossie']","['sit', 'on', 'his', 'legs', 'ossie']"
194,0,what was queer about it,"['to', 'was', 'queer', 'about', 'it']","['what', 'was', 'queer', 'about', 'it']"
195,0,don't you know your name,"['said', 'you', 'know', 'your', 'name']","[""don't"", 'you', 'know', 'your', 'name']"
196,3,yes sir oh yes sir,"['yes', 'sir', 'oh', 'peachy', 'sir']","['yes', 'sir', 'oh', 'yes', 'sir']"
197,0,we've got to get over,"['around', 'got', 'to', 'get', 'over']","[""we've"", 'got', 'to', 'get', 'over']"
198,3,give me a leg up,"['give', 'me', 'a', 'steve', 'up']","['give', 'me', 'a', 'leg', 'up']"
199,4,it's going the wrong way,"[""it's"", 'going', 'the', 'wrong', 'water']","[""it's"", 'going', 'the', 'wrong', 'way']"
200,0,wait till it slows up,"['get', 'till', 'it', 'slows', 'up']","['wait', 'till', 'it', 'slows', 'up']"
201,0,it went faster and faster,"['so', 'went', 'faster', 'and', 'faster']","['it', 'went', 'faster', 'and', 'faster']"
202,4,it went like the wind,"['it', 'went', 'like', 'the', 'to']","['it', 'went', 'like', 'the', 'wind']"
203,0,wait till it slows up,"['are', 'till', 'it', 'slows', 'up']","['wait', 'till', 'it', 'slows', 'up']"
204,3,what's the matter with you,"[""what's"", 'the', 'matter', 'was', 'you']","[""what's"", 'the', 'matter', 'with', 'you']"
205,3,did you get any grub,"['did', 'you', 'get', 'might', 'grub']","['did', 'you', 'get', 'any', 'grub']"
206,4,oh just around a bit,"['oh', 'just', 'around', 'a', 'to']","['oh', 'just', 'around', 'a', 'bit']"
207,3,it was the best ever,"['it', 'was', 'the', 'beastly', 'ever']","['it', 'was', 'the', 'best', 'ever']"
208,2,chased the burglars i said,"['chased', 'the', 'began', 'i', 'said']","['chased', 'the', 'burglars', 'i', 'said']"
209,2,it was a peachy floor,"['it', 'was', 'steve', 'peachy', 'floor']","['it', 'was', 'a', 'peachy', 'floor']"
210,3,never mind what he was,"['never', 'mind', 'what', 'casper', 'was']","['never', 'mind', 'what', 'he', 'was']"
211,4,some job agreed steve thoughtfully,"['some', 'job', 'agreed', 'steve', 'slows']","['some', 'job', 'agreed', 'steve', 'thoughtfully']"
212,1,guess i'll polish some brass,"['guess', 'queer', 'polish', 'some', 'brass']","['guess', ""i'll"", 'polish', 'some', 'brass']"
213,4,fortunately his charge was moderate,"['fortunately', 'his', 'charge', 'was', 'windlass']","['fortunately', 'his', 'charge', 'was', 'moderate']"
214,1,anyway there's nothing to it,"['anyway', 'fingers', 'nothing', 'to', 'it']","['anyway', ""there's"", 'nothing', 'to', 'it']"
215,4,nothing but bones objected ossie,"['nothing', 'but', 'bones', 'objected', 'bloodthirsty']","['nothing', 'but', 'bones', 'objected', 'ossie']"
216,3,it's a dandy business ossie,"[""it's"", 'a', 'dandy', 'why', 'ossie']","[""it's"", 'a', 'dandy', 'business', 'ossie']"
217,1,there's something about boiling them,"[""there's"", 'bloodthirsty', 'about', 'boiling', 'them']","[""there's"", 'something', 'about', 'boiling', 'them']"
218,1,it's only a squall probably,"[""it's"", 'remember', 'a', 'squall', 'probably']","[""it's"", 'only', 'a', 'squall', 'probably']"
219,3,here comes some rain steve,"['here', 'comes', 'some', 'did', 'steve']","['here', 'comes', 'some', 'rain', 'steve']"
220,1,joe's description was weak however,"[""joe's"", 'perry', 'was', 'weak', 'however']","[""joe's"", 'description', 'was', 'weak', 'however']"
